Designator,Mid X,Mid Y,Rotation,Layer
D54,227.875,-111.775,90.0,bottom
D55,242.175,-92.7,90.0,bottom
D56,246.925,-111.8,90.0,bottom
D57,261.175,-92.725,90.0,bottom
D58,265.975,-111.775,90.0,bottom
D59,280.25,-92.75,90.0,bottom
D6,85.0,-49.875,90.0,bottom
D60,313.55,-111.8,90.0,bottom
D61,313.6,-92.8,90.0,bottom
D62,40.0,-132.1,0.0,bottom
D63,65.95,-130.825,90.0,bottom
D64,85.0,-130.775,90.0,bottom
D65,104.025,-130.8,90.0,bottom
D66,121.1,-130.85,90.0,bottom
D67,142.125,-130.875,90.0,bottom
D68,161.2,-130.825,90.0,bottom
D69,180.225,-130.825,90.0,bottom
D7,104.05,-49.85,90.0,bottom
D70,199.3,-130.85,90.0,bottom
D71,218.325,-130.825,90.0,bottom
D72,237.4,-130.775,90.0,bottom
D73,256.475,-130.85,90.0,bottom
D74,294.5,-135.575,90.0,bottom
D75,33.5,-151.075,0.0,bottom
D76,46.875,-149.9,90.0,bottom
D77,70.7,-149.875,90.0,bottom
D78,164.7,-147.45,90.0,bottom
D79,213.525,-147.45,90.0,bottom
D8,127.825,-49.9,90.0,bottom
D80,233.1,-147.45,90.0,bottom
D81,251.675,-149.85,90.0,bottom
D82,275.45,-154.6,90.0,bottom
D83,294.525,-154.625,90.0,bottom
D84,313.575,-154.625,90.0,bottom
D85,26.575,-54.6175,180.0,bottom
D86,26.575,-87.582333,180.0,bottom
D87,26.575,-120.547167,180.0,bottom
D88,26.575,-153.512,180.0,bottom
D89,56.871875,-153.512,180.0,bottom
D9,146.9,-49.9,90.0,bottom
D90,86.86875,-153.512,180.0,bottom
D91,111.375,-153.512,180.0,bottom
D92,146.8625,-153.512,180.0,bottom
D93,176.859375,-153.512,180.0,bottom
D94,211.475,-153.512,180.0,bottom
D95,236.853125,-153.512,180.0,bottom
D96,266.85,-153.512,180.0,bottom
D97,329.733605,-135.975,0.0,bottom
D98,329.733605,-116.175,0.0,bottom
D99,329.205,-76.07,0.0,bottom
F1,47.259999,-43.624999,0.0,bottom
J1,44.5,-35.45,180.0,bottom
J2,176.9,-148.75,0.0,bottom
J3,137.3625,-135.615,180.0,bottom
J4,138.825,-154.1,90.0,top
J5,98.249999,-134.9,0.0,bottom
J7,98.58,-154.8,90.0,top
L1,46.689999,-42.35,180.0,bottom
L2,42.17,-41.25,0.0,bottom
LED1,32.6,-37.65,180.0,bottom
LED10,237.4,-37.625,180.0,bottom
LED11,256.425,-37.675,180.0,bottom
LED12,275.5,-37.7,180.0,bottom
LED13,299.25,-37.65,180.0,bottom
LED14,323.15,-37.65,180.0,bottom
LED15,32.6,-61.475,180.0,bottom
LED16,51.7,-61.5,180.0,bottom
LED17,70.7,-61.5,180.0,bottom
LED18,89.75,-61.475,180.0,bottom
LED19,108.825,-61.525,180.0,bottom
LED2,56.45,-37.65,180.0,bottom
LED20,289.8575,-61.475,180.0,bottom
LED21,127.875,-61.5,180.0,bottom
LED22,323.125,-61.425,180.0,bottom
LED23,146.9,-61.475,180.0,bottom
LED24,37.4,-80.525,180.0,bottom
LED25,165.925,-61.475,180.0,bottom
LED26,61.225,-80.525,180.0,bottom
LED27,185.0,-61.475,180.0,bottom
LED28,80.25,-80.525,180.0,bottom
LED29,204.05,-61.5,180.0,bottom
LED3,75.475,-37.675,180.0,bottom
LED30,99.325,-80.55,180.0,bottom
LED31,223.075,-61.525,180.0,bottom
LED32,118.372222,-80.55,180.0,bottom
LED33,242.15,-61.5,180.0,bottom
LED34,137.419444,-80.55,180.0,bottom
LED35,261.2,-61.5,180.0,bottom
LED36,156.466667,-80.55,180.0,bottom
LED37,175.513889,-80.55,180.0,bottom
LED38,65.975,-99.55,180.0,bottom
LED39,237.38,-99.55,180.0,bottom
LED4,94.5,-37.65,180.0,bottom
LED40,151.669444,-118.65,180.0,bottom
LED41,194.561111,-80.55,180.0,bottom
LED42,85.02,-99.55,180.0,bottom
LED43,256.425,-99.55,180.0,bottom
LED44,170.730556,-118.65,180.0,bottom
LED45,213.608333,-80.55,180.0,bottom
LED46,104.065,-99.55,180.0,bottom
LED47,287.475,-99.55,180.0,bottom
LED48,189.791667,-118.65,180.0,bottom
LED49,232.655556,-80.55,180.0,bottom
LED5,113.55,-37.65,180.0,bottom
LED50,123.11,-99.55,180.0,bottom
LED51,323.125,-99.55,180.0,bottom
LED52,208.852778,-118.65,180.0,bottom
LED53,251.702778,-80.55,180.0,bottom
LED54,142.155,-99.55,180.0,bottom
LED55,44.525,-118.55,180.0,bottom
LED56,227.913889,-118.65,180.0,bottom
LED57,270.75,-80.5,180.0,bottom
LED58,161.2,-99.55,180.0,bottom
LED59,75.425,-118.65,180.0,bottom
LED6,137.375,-37.675,180.0,bottom
LED60,246.975,-118.65,180.0,bottom
LED61,294.55,-80.45,180.0,bottom
LED62,180.245,-99.55,180.0,bottom
LED63,94.486111,-118.65,180.0,bottom
LED64,274.425,-118.65,180.0,bottom
LED65,323.15,-80.5,180.0,bottom
LED66,199.29,-99.55,180.0,bottom
LED67,113.547222,-118.65,180.0,bottom
LED68,303.975,-123.35,180.0,bottom
LED69,39.725,-99.55,180.0,bottom
LED7,156.425,-37.625,180.0,bottom
